run_id,model_number,learning_rate,learning_rate,n_fold,eval_metric,n_features,3JHC_features,random_state,hours_total,3JHC_mae_cv,3JHC_logmae_cv,3JHC_meta_fc_mae_cv_f1,3JHC_meta_fc_mae_cv_f2,3JHC_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,learning_rate,learning_rate,model_type,training_time,depth,gml_oof_score,oof_score,lb_score,3JHC_std_mae_cv,3JHC_f1_best_iter,3JHC_f2_best_iter,3JHCcv_f1,3JHCcv_f2,3JHC_meta_fc_est,3JHC_meta_fc_metafolds,3JHC_f3_best_iter,3JHCcv_f3,3JHC_tr_hour_f1,3JHC_pred_hour_f1,3JHC_tr_hour_f2,3JHC_pred_hour_f2,3JHC_csv_save_hour,3JHC_tr_hour_f3,3JHC_pred_hour_f3
0626_0129,M021,0.3000,0.3000,2,group_mae,41.0000,,529,1.6866,0.5558,-0.5874,,,,500000,500,60,0.3000,0.3000,lgbm,21636.0900,,1.5972,11.9581,-1.0400,0.0025,,,,,,,,,0.4940,0.3623,0.4893,0.3333,0.0077,,
0621_0331,M017,0.1000,0.1000,3,group_mae,50.0000,,529,0.0000,0.6537,-0.4251,,,,500000,500,42,0.1000,0.1000,lgbm,,,,,1.8210,0.0000,,,,,,,,,,,,,,,
0618_0349,M016,0.2000,0.2000,5,group_mae,51.0000,,529,0.0000,0.6844,-0.3792,,,,500000,500,42,0.2000,0.2000,lgbm,,,,0.7409,-0.6950,0.0004,,,,,,,,,,,,,,,
0613_0402,M015,0.3000,0.3000,5,mae,51.0000,,529,0.0000,0.7331,-0.3105,,,,500000,500,24,0.3000,0.3000,,,,,0.7914,-0.6710,0.0008,,,,,,,,,,,,,,,
0624_0121,M020,0.3000,0.3000,2,group_mae,44.0000,,529,2.8991,0.7547,-0.2814,,,,500000,500,60,0.3000,0.3000,lgbm,21487.8000,,1.6188,12.0366,-0.6660,0.0009,,,,,,,,,0.5576,0.4138,1.0352,0.8852,0.0073,,
0623_1435,M019,0.3000,0.3000,2,group_mae,44.0000,,529,1.6342,0.7557,-0.2801,,,,50000,500,52,0.3000,0.3000,lgbm,13891.4700,,1.6189,12.0371,-0.6640,0.0014,,,,,,,,,0.4494,0.3606,0.4362,0.3806,0.0074,,
0623_1352,M018,0.1000,0.1000,2,group_mae,50.0000,,529,0.1449,0.8174,-0.2016,,,,5000,500,52,0.1000,0.1000,lgbm,1872.9200,,1.6174,12.0448,-0.6340,0.0026,,,,,,,,,0.0565,0.0135,0.0537,0.0137,0.0075,,
0610_1341,M010,0.5000,0.5000,5,mae,61.0000,,529,0.0000,0.8593,-0.1516,,,,500000,500,32,0.5000,0.5000,,,,,0.9210,-0.4520,0.0028,,,,,,,,,,,,,,,
0611_1249,M014,0.3000,0.3000,5,mae,28.0000,,529,0.0000,0.8967,-0.1090,,,,500000,500,24,0.3000,0.3000,,,,,0.9142,-0.2750,0.0020,,,,,,,,,,,,,,,
0611_1250,M013,0.5000,0.5000,5,mae,28.0000,,529,0.0000,0.9359,-0.0663,,,,50000,500,32,0.5000,0.5000,catboost,137353.1900,,,0.9488,,0.0018,,,,,,,,,,,,,,,
0611_0308,M012,0.5000,0.5000,5,mae,28.0000,,529,0.0000,0.9867,-0.0134,,,,500000,500,32,0.5000,0.5000,,,,,1.0109,-0.2020,0.0016,,,,,,,,,,,,,,,
