run_id,model_number,learning_rate,n_fold,eval_metric,n_features,2JHC_features,random_state,hours_total,2JHC_mae_cv,2JHC_logmae_cv,2JHC_meta_fc_mae_cv_f1,2JHC_meta_fc_mae_cv_f2,2JHC_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,model_type,training_time,depth,gml_oof_score,oof_score,lb_score,2JHC_std_mae_cv,2JHC_f1_best_iter,2JHC_f2_best_iter,2JHCcv_f1,2JHCcv_f2,2JHC_meta_fc_est,2JHC_meta_fc_metafolds,2JHC_f3_best_iter,2JHCcv_f3,2JHC_meta_fc_lmae_cv_f1,2JHC_tr_hour_f1,2JHC_pred_hour_f1,2JHC_tr_hour_f2,2JHC_pred_hour_f2,2JHC_csv_save_hour,2JHC_tr_hour_f3,2JHC_pred_hour_f3
0629_2221,M027,0.1000,2,group_mae,241.0000,,529,2.4235,0.3143,-1.1574,,,,500000,500,24,catboost,36762.0000,,-1.2683,0.3677,-1.3520,0.0007,,,,,,,,,,1.1347,0.0419,1.2036,0.0433,,,
0630_1258,M028,0.1000,2,group_mae,186.0000,,529,2.5776,0.3145,-1.1568,,,,5000000,500,24,catboost,35730.0000,,-1.2487,0.3684,,0.0010,,,,,,,,,,1.2514,0.0292,1.2525,0.0353,0.0092,,
0627_1434,M024,0.1000,2,group_mae,99.0000,,529,14.4587,0.3198,-1.1401,,,,500000,500,48,lgbm,147803.0000,,-1.2826,0.3771,-1.3820,0.0003,,,,,,,,,,3.1525,4.1114,3.2042,3.9828,0.0078,,
0701_0819,M029,0.1000,2,RMSE,240.0000,,529,3.7061,0.3309,-1.1059,,,,5000000,500,24,catboost,56685.0000,4.0000,-1.2437,0.3850,,0.0017,,,,,,,,,,1.8525,0.0253,1.7989,0.0211,0.0083,,
0629_1638,M026,0.1000,2,group_mae,241.0000,,529,12.5450,0.3340,-1.0966,,,,500000,500,24,lgbm,123918.0000,,1.3679,9.3902,,0.0000,,,,,,,,,,8.5683,3.9767,,,,,
0704_1133,M033,0.1000,2,group_mae,295.0000,,529,3.4466,0.3342,-1.0960,,,,5000000,50,24,lgbm,30530.0000,,1.4555,16.5716,,0.0000,,,,,,,,,,,,2.3719,1.0672,0.0075,,
0629_1637,M026,0.1000,2,group_mae,241.0000,,529,9.5931,0.3355,-1.0921,,,,500000,500,24,lgbm,106656.0000,,1.3690,9.3908,,0.0000,,,,,,,,,,,,6.7989,2.7942,,,
0627_0017,M023,0.3000,2,group_mae,167.0000,,529,3.5536,0.3776,-0.9739,,,,500000,500,48,lgbm,44349.0000,,-1.1118,0.4420,-1.2640,0.0013,,,,,,,,,,0.9750,0.8064,0.9386,0.8261,0.0075,,
0626_0129,M021,0.3000,2,group_mae,41.0000,,529,2.6059,0.4974,-0.6984,,,,500000,500,60,lgbm,21636.0900,,1.5972,11.9581,-1.0400,0.0008,,,,,,,,,,0.7684,0.2489,1.0157,0.5657,0.0072,,
0621_0331,M017,0.1000,3,group_mae,50.0000,,529,0.0000,0.6379,-0.4496,,,,500000,500,42,lgbm,,,,,1.8210,0.0000,,,,,,,,,,,,,,,,
0618_0349,M016,0.2000,5,group_mae,51.0000,,529,0.0000,0.6672,-0.4047,,,,500000,500,42,lgbm,,,,0.7409,-0.6950,0.0006,,,,,,,,,,,,,,,,
0613_0402,M015,0.3000,5,mae,51.0000,,529,0.0000,0.7155,-0.3348,,,,500000,500,24,,,,,0.7914,-0.6710,0.0023,,,,,,,,,,,,,,,,
0623_1435,M019,0.3000,2,group_mae,44.0000,,529,1.0905,0.7219,-0.3259,,,,50000,500,52,lgbm,13891.4700,,1.6189,12.0371,-0.6640,0.0015,,,,,,,,,,0.3487,0.1685,0.3576,0.2087,0.0070,,
0624_0121,M020,0.3000,2,group_mae,44.0000,,529,1.2722,0.7222,-0.3255,,,,500000,500,60,lgbm,21487.8000,,1.6188,12.0366,-0.6660,0.0023,,,,,,,,,,0.4002,0.1565,0.4773,0.2312,0.0070,,
0623_1352,M018,0.1000,2,group_mae,50.0000,,529,0.1015,0.7560,-0.2797,,,,5000,500,52,lgbm,1872.9200,,1.6174,12.0448,-0.6340,0.0008,,,,,,,,,,0.0362,0.0103,0.0379,0.0100,0.0071,,
0610_1341,M010,0.5000,5,mae,61.0000,,529,0.0000,0.8405,-0.1738,,,,500000,500,32,,,,,0.9210,-0.4520,0.0013,,,,,,,,,,,,,,,,
0611_1249,M014,0.3000,5,mae,28.0000,,529,0.0000,0.9209,-0.0824,,,,500000,500,24,,,,,0.9142,-0.2750,0.0029,,,,,,,,,,,,,,,,
0611_1250,M013,0.5000,5,mae,28.0000,,529,0.0000,0.9603,-0.0405,,,,50000,500,32,catboost,137353.1900,,,0.9488,,0.0033,,,,,,,,,,,,,,,,
0611_0308,M012,0.5000,5,mae,28.0000,,529,0.0000,1.0352,0.0346,,,,500000,500,32,,,,,1.0109,-0.2020,0.0043,,,,,,,,,,,,,,,,
