run_id,model_number,1JHC_mae_cv,1JHC_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,1JHC_features,random_state,hours_total,1JHC_meta_fc_mae_cv_f1,1JHC_meta_fc_mae_cv_f2,1JHC_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,1JHC_std_mae_cv,1JHC_f1_best_iter,1JHC_f2_best_iter,1JHCcv_f1,1JHCcv_f2,1JHC_meta_fc_est,1JHC_meta_fc_mae_cv,1JHC_meta_fc_metafolds,1JHC_meta_sd_est,1JHC_meta_sd_metafolds,1JHC_meta_sd_mae_cv_f1,1JHC_meta_pso_est,1JHC_meta_pso_metafolds,1JHC_meta_pso_mae_cv_f1,1JHC_meta_dso_est,1JHC_meta_dso_metafolds,1JHC_meta_dso_mae_cv_f1,1JHC_meta_sd_mae_cv_f2,1JHC_meta_pso_mae_cv_f2,1JHC_meta_dso_mae_cv_f2,1JHC_f3_best_iter,1JHCcv_f3,1JHC_meta_fc_lmae_cv_f1,1JHC_meta_fc_lmae_cv_f2,1JHC_meta_fc_lmae_cv_f3,1JHC_tr_hour_f1,1JHC_pred_hour_f1,1JHC_tr_hour_f2,1JHC_pred_hour_f2,1JHC_csv_save_hour,1JHC_tr_hour_f3,1JHC_pred_hour_f3
0703_2133,M032,0.6068,-0.4996,7.0000,0.1000,catboost,3,MAE,293.0000,,529,3.4064,,,,5000000,50,16,85338.0000,-1.3405,0.3390,,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,1.1594,0.0178,1.0547,0.0164,0.0072,1.1328,0.0181
0705_2317,M036,0.6143,-0.4873,7.0000,0.1000,catboost,2,MAE,188.0000,,529,1.1375,,,,300000,50,16,32828.0000,-1.3767,0.3319,-1.4730,0.0009,299972.0000,299957.0000,,,,,,,,,,,,,,,,,,,,,,,0.5544,0.0117,0.5514,0.0125,0.0075,,
0701_1300,M030,0.6206,-0.4771,,0.0500,lgbm,3,group_mae,240.0000,,529,23.3792,,,,5000000,500,16,,,,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,9.5131,1.9111,9.0564,2.8911,0.0075,,
0630_1258,M028,0.6569,-0.4202,,0.1000,catboost,2,group_mae,186.0000,,529,1.5275,,,,5000000,500,24,35730.0000,-1.2487,0.3684,,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,0.6942,0.0219,0.7817,0.0219,0.0078,,
0701_0819,M029,0.6583,-0.4181,4.0000,0.1000,catboost,2,RMSE,240.0000,,529,1.9796,,,,5000000,500,24,56685.0000,-1.2437,0.3850,,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,0.9739,0.0086,0.9819,0.0083,0.0069,,
0629_2221,M027,0.6594,-0.4164,,0.1000,catboost,2,group_mae,241.0000,,529,1.6807,,,,500000,500,24,36762.0000,-1.2683,0.3677,-1.3520,0.0010,,,,,,,,,,,,,,,,,,,,,,,,,0.7836,0.0194,0.8244,0.0425,0.0108,,
0629_1311,M025,0.6691,-0.4018,,0.1000,catboost,2,group_mae,99.0000,,529,1.0535,,,,500000,500,24,30069.0000,-1.3265,0.3533,-1.4150,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,0.5633,0.0181,0.4508,0.0144,0.0069,,
0629_1638,M026,0.7038,-0.3513,,0.1000,lgbm,2,group_mae,241.0000,,529,4.3000,,,,500000,500,24,123918.0000,1.3679,9.3902,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,3.2892,1.0033,,,0.0075,,
0629_1637,M026,0.7069,-0.3469,,0.1000,lgbm,2,group_mae,241.0000,,529,5.6086,,,,500000,500,24,106656.0000,1.3690,9.3908,,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3472,1.2536,0.0078,,
0627_1434,M024,0.7073,-0.3463,,0.1000,lgbm,2,group_mae,99.0000,,529,4.5225,,,,500000,500,48,147803.0000,-1.2826,0.3771,-1.3820,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,1.0800,1.2292,1.0297,1.1764,0.0072,,
0627_0017,M023,0.8204,-0.1980,,0.3000,lgbm,2,group_mae,167.0000,,529,1.3630,,,,500000,500,48,44349.0000,-1.1118,0.4420,-1.2640,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,0.4036,0.2772,0.3753,0.3000,0.0069,,
0721_2252,M050,1.0597,0.0580,9.0000,0.0050,xgboost,3,mae,,19.0000,529,5.5730,1.2670,1.2605,1.2641,500000,50,48,,,,,0.0077,142973.0000,121727.0000,1.0490,1.0630,300000.0000,,2.0000,,,,,,,,,,,,,93724.0000,1.0672,0.2367,0.2315,0.2344,1.9956,0.0072,1.9072,0.0058,,1.6528,0.0044
0626_0129,M021,1.1473,0.1374,,0.3000,lgbm,2,group_mae,41.0000,,529,0.5238,,,,500000,500,60,21636.0900,1.5972,11.9581,-1.0400,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,0.2559,0.0685,0.1592,0.0333,0.0069,,
0621_0331,M017,1.4084,0.3424,,0.1000,lgbm,3,group_mae,50.0000,,529,5.9943,,,,500000,500,42,,,,1.8210,0.0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9943,,
0623_1352,M018,1.5620,0.4460,,0.1000,lgbm,2,group_mae,50.0000,,529,0.0652,,,,5000,500,52,1872.9200,1.6174,12.0448,-0.6340,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,0.0231,0.0061,0.0232,0.0060,0.0068,,
0624_0121,M020,1.5631,0.4467,,0.3000,lgbm,2,group_mae,44.0000,,529,0.5202,,,,500000,500,60,21487.8000,1.6188,12.0366,-0.6660,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,0.2250,0.0582,0.1942,0.0361,0.0067,,
0623_1435,M019,1.5682,0.4499,,0.3000,lgbm,2,group_mae,44.0000,,529,0.2626,,,,50000,500,52,13891.4700,1.6189,12.0371,-0.6640,0.0030,,,,,,,,,,,,,,,,,,,,,,,,,0.0961,0.0280,0.1024,0.0294,0.0067,,
0618_0349,M016,1.5980,0.4688,,0.2000,lgbm,5,group_mae,51.0000,,529,0.0000,,,,500000,500,42,,,0.7409,-0.6950,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0613_0402,M015,1.6918,0.5258,,0.3000,,5,mae,51.0000,,529,0.0000,,,,500000,500,24,,,0.7914,-0.6710,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611_1249,M014,1.7005,0.5309,,0.3000,,5,mae,28.0000,,529,0.0000,,,,500000,500,24,,,0.9142,-0.2750,0.0043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611_1250,M013,1.7478,0.5584,,0.5000,catboost,5,mae,28.0000,,529,0.0000,,,,50000,500,32,137353.1900,,0.9488,,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0611_0308,M012,1.8632,0.6223,,0.5000,,5,mae,28.0000,,529,0.0000,,,,500000,500,32,,,1.0109,-0.2020,0.0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0610_1341,M010,1.9206,0.6526,,0.5000,,5,mae,61.0000,,529,0.0000,,,,500000,500,32,,,0.9210,-0.4520,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
