run_id,model_number,learning_rate,n_fold,eval_metric,n_features,random_state,hours_total,3JHN_mae_cv,3JHN_logmae_cv,oof_score,gml_oof_score,lb_score,n_estimators,early_stopping_rounds,n_threads,model_type,training_time,depth,3JHN_std_mae_cv,3JHN_f1_best_iter,3JHN_f2_best_iter,3JHNcv_f1,3JHNcv_f2,3JHN_meta_fc_est,3JHN_meta_fc_metafolds,3JHN_meta_fc_mae_cv_f1,3JHN_meta_fc_mae_cv_f2,3JHN_features,3JHN_meta_fc_mae_cv_f3,3JHN_f3_best_iter,3JHNcv_f3,3JHN_meta_fc_lmae_cv_f1,3JHN_meta_fc_lmae_cv_f2,3JHN_meta_fc_lmae_cv_f3,3JHN_tr_hour_f1,3JHN_pred_hour_f1,3JHN_tr_hour_f2,3JHN_pred_hour_f2,3JHN_csv_save_hour,3JHN_tr_hour_f3,3JHN_pred_hour_f3
0621_0331,M017,0.1000,3,group_mae,50.0000,529,0.0000,0.2566,-1.3602,,,1.8210,500000,500,42,lgbm,,,0.0000,,,,,,,,,,,,,,,,,,,,,,
0618_0349,M016,0.2000,5,group_mae,51.0000,529,0.0000,0.2577,-1.3560,0.7409,,-0.6950,500000,500,42,lgbm,,,0.0019,,,,,,,,,,,,,,,,,,,,,,
0623_1352,M018,0.1000,2,group_mae,50.0000,529,0.0249,0.2618,-1.3402,12.0448,1.6174,-0.6340,5000,500,52,lgbm,1872.9200,,0.0010,,,,,,,,,,,,,,,,0.0113,0.0013,0.0109,0.0014,,,
0613_0402,M015,0.3000,5,mae,51.0000,529,0.0000,0.2789,-1.2769,0.7914,,-0.6710,500000,500,24,,,,0.0006,,,,,,,,,,,,,,,,,,,,,,
0624_0121,M020,0.3000,2,group_mae,44.0000,529,0.1416,0.2919,-1.2313,12.0366,1.6188,-0.6660,500000,500,60,lgbm,21487.8000,,0.0019,,,,,,,,,,,,,,,,0.0606,0.0078,0.0653,0.0079,,,
0623_1435,M019,0.3000,2,group_mae,44.0000,529,0.1015,0.2926,-1.2289,12.0371,1.6189,-0.6640,50000,500,52,lgbm,13891.4700,,0.0005,,,,,,,,,,,,,,,,0.0474,0.0073,0.0410,0.0058,,,
0611_1249,M014,0.3000,5,mae,28.0000,529,0.0000,0.3167,-1.1498,0.9142,,-0.2750,500000,500,24,,,,0.0019,,,,,,,,,,,,,,,,,,,,,,
0610_1341,M010,0.5000,5,mae,61.0000,529,0.0000,0.3264,-1.1196,0.9210,,-0.4520,500000,500,32,,,,0.0018,,,,,,,,,,,,,,,,,,,,,,
0611_1250,M013,0.5000,5,mae,28.0000,529,0.0000,0.3300,-1.1087,0.9488,,,50000,500,32,catboost,137353.1900,,0.0020,,,,,,,,,,,,,,,,,,,,,,
0611_0308,M012,0.5000,5,mae,28.0000,529,0.0000,0.3553,-1.0348,1.0109,,-0.2020,500000,500,32,,,,0.0009,,,,,,,,,,,,,,,,,,,,,,
