run_id,model_number,1JHN_mae_cv,1JHN_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,1JHN_features,random_state,hours_total,1JHN_meta_fc_mae_cv_f1,1JHN_meta_fc_mae_cv_f2,1JHN_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,1JHN_std_mae_cv,1JHN_f1_best_iter,1JHN_f2_best_iter,1JHNcv_f1,1JHNcv_f2,1JHN_meta_fc_est,1JHN_meta_fc_metafolds,1JHN_f3_best_iter,1JHNcv_f3,1JHN_meta_fc_lmae_cv_f1,1JHN_meta_fc_lmae_cv_f2,1JHN_meta_fc_lmae_cv_f3,1JHN_f1-2_metafc_best_iter,1JHN_f1-3_metafc_best_iter,1JHN_f2-2_metafc_best_iter,1JHN_f2-3_metafc_best_iter,1JHN_f3-2_metafc_best_iter,1JHN_f3-3_metafc_best_iter,1JHN_tr_hour_f1,1JHN_pred_hour_f1,1JHN_tr_hour_f2,1JHN_pred_hour_f2,1JHN_csv_save_hour,1JHN_tr_hour_f3,1JHN_pred_hour_f3
0707_0907,M038,0.3877,-0.9475,7.0000,0.0800,catboost,2,MAE,195.0000,,529,2.2800,,,,500000,500,16,,,,,0.0319,389564.0000,86287.0000,,,,,,,,,,,,,,,,1.8669,0.0006,0.4056,0.0000,0.0069,,
0627_1434,M024,0.3909,-0.9393,,0.1000,lgbm,2,group_mae,99.0000,,529,0.1003,,,,500000,500,48,147803.0000,-1.2826,0.3771,-1.3820,0.0012,,,,,,,,,,,,,,,,,,0.0350,0.0028,0.0503,0.0050,0.0072,,
0708_1639,M040,0.3983,-0.9205,7.0000,0.1000,catboost,2,MAE,228.0000,,529,1.5137,,,,500000,500,16,59711.0000,-1.5419,0.2635,-1.6420,0.0145,121959.0000,111265.0000,,,,,,,,,,,,,,,,0.7811,0.0003,0.7217,0.0003,0.0103,,
0701_0819,M029,0.4007,-0.9145,4.0000,0.1000,catboost,2,RMSE,240.0000,,529,0.6227,,,,5000000,500,24,56685.0000,-1.2437,0.3850,,0.0081,,,,,,,,,,,,,,,,,,0.3914,0.0000,0.2244,0.0000,0.0069,,
0629_1638,M026,0.4063,-0.9007,,0.1000,lgbm,2,group_mae,241.0000,,529,0.0517,,,,500000,500,24,123918.0000,1.3679,9.3902,,0.0000,,,,,,,,,,,,,,,,,,0.0392,0.0050,,,0.0075,,
0704_1132,M033,0.4103,-0.8909,,0.1000,lgbm,2,group_mae,295.0000,,529,0.0230,,,,5000000,50,24,,,,,0.0000,,,,,,,,,,,,,,,,,,0.0136,0.0022,,,0.0072,,
0704_1133,M033,0.4194,-0.8689,,0.1000,lgbm,2,group_mae,295.0000,,529,0.0183,,,,5000000,50,24,30530.0000,1.4555,16.5716,,0.0000,,,,,,,,,,,,,,,,,,,,0.0092,0.0019,0.0072,,
0629_1637,M026,0.4197,-0.8682,,0.1000,lgbm,2,group_mae,241.0000,,529,0.0702,,,,500000,500,24,106656.0000,1.3690,9.3908,,0.0000,,,,,,,,,,,,,,,,,,,,0.0544,0.0064,0.0094,,
0706_2029,M037,0.4293,-0.8456,7.0000,0.1000,catboost,2,MAE,195.0000,,529,1.3708,,,,500000,50,16,40607.0000,-1.5106,0.2749,-1.6080,0.0593,265132.0000,20518.0000,,,,,,,,,,,,,,,,1.2725,0.0003,0.0911,0.0000,0.0069,,
0629_1311,M025,0.4348,-0.8329,,0.1000,catboost,2,group_mae,99.0000,,529,0.3539,,,,500000,500,24,30069.0000,-1.3265,0.3533,-1.4150,0.0222,,,,,,,,,,,,,,,,,,0.2303,0.0000,0.1164,0.0000,0.0072,,
