run_id,model_number,2JHH_mae_cv,2JHH_logmae_cv,depth,learning_rate,model_type,n_fold,eval_metric,n_features,2JHH_features,random_state,hours_total,2JHH_meta_fc_mae_cv_f1,2JHH_meta_fc_mae_cv_f2,2JHH_meta_fc_mae_cv_f3,n_estimators,early_stopping_rounds,n_threads,training_time,gml_oof_score,oof_score,lb_score,2JHH_std_mae_cv,2JHH_f1_best_iter,2JHH_f2_best_iter,2JHHcv_f1,2JHHcv_f2,2JHH_meta_fc_est,2JHH_meta_fc_metafolds,2JHH_f3_best_iter,2JHHcv_f3,2JHH_meta_fc_lmae_cv_f1,2JHH_meta_fc_lmae_cv_f2,2JHH_meta_fc_lmae_cv_f3,2JHH_f1-2_metafc_best_iter,2JHH_f1-3_metafc_best_iter,2JHH_f2-2_metafc_best_iter,2JHH_f2-3_metafc_best_iter,2JHH_f3-2_metafc_best_iter,2JHH_f3-3_metafc_best_iter,2JHH_tr_hour_f1,2JHH_pred_hour_f1,2JHH_tr_hour_f2,2JHH_pred_hour_f2,2JHH_csv_save_hour,2JHH_tr_hour_f3,2JHH_pred_hour_f3
0706_2029,M037,0.1440,-1.9379,7.0000,0.1000,catboost,2,MAE,195.0000,,529,0.7444,,,,500000,50,16,40607.0000,-1.5106,0.2749,-1.6080,0.0006,254087.0000,251872.0000,,,,,,,,,,,,,,,,0.3664,0.0047,0.3608,0.0056,0.0069,,
0705_2317,M036,0.1499,-1.8978,7.0000,0.1000,catboost,2,MAE,188.0000,,529,0.6770,,,,300000,50,16,32828.0000,-1.3767,0.3319,-1.4730,0.0010,237567.0000,247143.0000,,,,,,,,,,,,,,,,0.3242,0.0053,0.3356,0.0050,0.0069,,
0702_0822,M031,0.1543,-1.8689,7.0000,0.0500,catboost,3,MAE,240.0000,,529,2.1323,,,,5000000,500,16,,,,,0.0006,,,,,,,,,,,,,,,,,,0.7269,0.0119,0.6958,0.0108,0.0083,0.6669,0.0117
0703_1733,M032,0.1614,-1.8239,7.0000,0.1000,catboost,3,MAE,294.0000,,529,1.2061,,,,5000000,50,16,,,,,0.0006,,,,,,,,,,,,,,,,,,0.3878,0.0044,0.4106,0.0053,0.0069,0.3864,0.0047
0703_2133,M032,0.1615,-1.8233,7.0000,0.1000,catboost,3,MAE,293.0000,,529,1.0588,,,,5000000,50,16,85338.0000,-1.3405,0.3390,,0.0004,,,,,,,,,,,,,,,,,,0.2933,0.0031,0.4319,0.0036,0.0069,0.3164,0.0036
0629_1311,M025,0.1640,-1.8079,,0.1000,catboost,2,group_mae,99.0000,,529,0.6188,,,,500000,500,24,30069.0000,-1.3265,0.3533,-1.4150,0.0006,,,,,,,,,,,,,,,,,,0.3139,0.0047,0.2858,0.0075,0.0069,,
0701_1300,M030,0.1646,-1.8042,,0.0500,lgbm,3,group_mae,240.0000,,529,7.5553,,,,5000000,500,16,,,,,0.0000,,,,,,,,,,,,,,,,,,2.2294,1.1317,3.4292,0.7564,0.0086,,
0704_2344,M035,0.1704,-1.7696,,0.0100,lgbm,2,group_mae,295.0000,,529,6.2730,,,,500000,50,50,,,,,0.0009,,,,,,,,,,,,,,,,,,1.8739,0.9722,2.2167,1.2033,0.0069,,
0627_1434,M024,0.1739,-1.7493,,0.1000,lgbm,2,group_mae,99.0000,,529,1.9099,,,,500000,500,48,147803.0000,-1.2826,0.3771,-1.3820,0.0004,,,,,,,,,,,,,,,,,,0.5489,0.3719,0.5775,0.4044,0.0072,,
0629_2221,M027,0.1763,-1.7356,,0.1000,catboost,2,group_mae,241.0000,,529,0.7639,,,,500000,500,24,36762.0000,-1.2683,0.3677,-1.3520,0.0009,,,,,,,,,,,,,,,,,,0.3686,0.0139,0.3567,0.0150,0.0097,,
0630_1258,M028,0.1765,-1.7344,,0.1000,catboost,2,group_mae,186.0000,,529,0.5656,,,,5000000,500,24,35730.0000,-1.2487,0.3684,,0.0014,,,,,,,,,,,,,,,,,,0.2931,0.0064,0.2514,0.0058,0.0089,,
0701_0819,M029,0.1817,-1.7054,4.0000,0.1000,catboost,2,RMSE,240.0000,,529,0.5215,,,,5000000,500,24,56685.0000,-1.2437,0.3850,,0.0014,,,,,,,,,,,,,,,,,,0.2083,0.0011,0.3033,0.0019,0.0069,,
0704_1133,M033,0.1870,-1.6766,,0.1000,lgbm,2,group_mae,295.0000,,529,0.3278,,,,5000000,50,24,30530.0000,1.4555,16.5716,,0.0000,,,,,,,,,,,,,,,,,,,,0.2642,0.0564,0.0072,,
0629_1637,M026,0.1876,-1.6734,,0.1000,lgbm,2,group_mae,241.0000,,529,1.0136,,,,500000,500,24,106656.0000,1.3690,9.3908,,0.0000,,,,,,,,,,,,,,,,,,,,0.7114,0.2928,0.0094,,
0704_1132,M033,0.1880,-1.6713,,0.1000,lgbm,2,group_mae,295.0000,,529,0.4950,,,,5000000,50,24,,,,,0.0000,,,,,,,,,,,,,,,,,,0.3914,0.0967,,,0.0069,,
0629_1638,M026,0.1890,-1.6660,,0.1000,lgbm,2,group_mae,241.0000,,529,1.0652,,,,500000,500,24,123918.0000,1.3679,9.3902,,0.0000,,,,,,,,,,,,,,,,,,0.7769,0.2808,,,0.0075,,
0627_0017,M023,0.2090,-1.5654,,0.3000,lgbm,2,group_mae,167.0000,,529,0.6041,,,,500000,500,48,44349.0000,-1.1118,0.4420,-1.2640,0.0004,,,,,,,,,,,,,,,,,,0.2011,0.0933,0.2078,0.0947,0.0072,,
