feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHC,3JHH,3JHN
18th_closest_to_0,False,True,False,False,False,False,False,False
18th_closest_to_0_exact_mass,True,False,False,False,False,False,False,False
18th_closest_to_0_spin_multiplicity,False,False,False,True,False,False,False,False
18th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,True,False,False,False,False,False,False
18th_closest_to_0_valence,False,False,False,False,False,False,False,False
18th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
18th_closest_to_1,False,False,False,False,False,False,False,False
18th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
18th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
18th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
18th_closest_to_1_valence,False,False,False,False,False,False,False,False
18th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
19th_closest_to_0,False,False,False,False,False,False,False,False
19th_closest_to_0_exact_mass,False,False,False,True,False,False,False,False
19th_closest_to_0_spin_multiplicity,True,False,False,False,False,False,False,False
19th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,True,False,False,False,False
19th_closest_to_0_valence,False,False,False,False,False,False,False,False
19th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
19th_closest_to_1,False,False,False,False,False,False,False,False
19th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
19th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
19th_closest_to_1_spin_multiplicity_x_cube_inv_dist,True,False,False,False,False,False,False,False
19th_closest_to_1_valence,False,False,False,True,False,False,False,False
19th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
20th_closest_to_0,False,False,False,False,False,False,False,False
20th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
20th_closest_to_0_spin_multiplicity,True,False,False,False,False,False,False,False
20th_closest_to_0_spin_multiplicity_x_cube_inv_dist,True,False,False,False,False,False,False,False
20th_closest_to_0_valence,False,False,False,False,False,False,False,False
20th_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
20th_closest_to_1,False,False,False,False,False,False,False,False
20th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
20th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
20th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
20th_closest_to_1_valence,False,False,False,False,False,False,False,False
20th_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
21st_closest_to_0,False,False,False,False,False,False,False,False
21st_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
21st_closest_to_0_spin_multiplicity,True,True,False,False,False,False,False,False
21st_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
21st_closest_to_0_valence,False,False,False,False,False,False,False,False
21st_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
21st_closest_to_1,False,False,False,False,False,False,False,False
21st_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
21st_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
21st_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,True,False,True,False,False,False,False
21st_closest_to_1_valence,False,False,False,False,False,False,False,False
21st_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
22nd_closest_to_0,False,False,False,False,False,False,False,False
22nd_closest_to_0_exact_mass,False,True,False,False,False,False,False,False
22nd_closest_to_0_spin_multiplicity,False,True,False,True,False,False,False,False
22nd_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,True,False,False,False,False,False,False
22nd_closest_to_0_valence,False,False,False,False,False,False,False,False
22nd_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
22nd_closest_to_1,False,False,False,False,False,False,False,False
22nd_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
22nd_closest_to_1_spin_multiplicity,True,False,False,False,False,False,False,False
22nd_closest_to_1_spin_multiplicity_x_cube_inv_dist,True,False,False,False,False,False,False,False
22nd_closest_to_1_valence,False,False,False,False,False,False,False,False
22nd_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
23rd_closest_to_0,False,False,False,False,False,False,False,False
23rd_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
23rd_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
23rd_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
23rd_closest_to_0_valence,False,False,False,False,False,False,False,False
23rd_closest_to_0_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
23rd_closest_to_1,False,False,False,False,False,False,False,False
23rd_closest_to_1_exact_mass,False,True,False,False,False,False,False,False
23rd_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
23rd_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,True,False,False,False,False,False,False
23rd_closest_to_1_valence,False,True,False,False,False,False,False,False
23rd_closest_to_1_valence_x_cube_inv_dist,False,False,False,False,False,False,False,False
24th_closest_to_0,False,,False,False,False,False,False,False
24th_closest_to_0_exact_mass,False,,False,False,False,False,False,False
24th_closest_to_0_spin_multiplicity,False,,False,False,False,False,False,False
24th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,,False,False,False,False,False,False
24th_closest_to_0_valence,False,,False,False,False,False,False,False
24th_closest_to_0_valence_x_cube_inv_dist,False,,False,False,False,False,False,False
24th_closest_to_1,False,,False,False,False,False,False,False
24th_closest_to_1_exact_mass,False,,False,False,False,False,False,False
24th_closest_to_1_spin_multiplicity,True,,False,False,False,False,False,False
24th_closest_to_1_spin_multiplicity_x_cube_inv_dist,True,,False,False,False,False,False,False
24th_closest_to_1_valence,False,,False,False,False,False,False,False
24th_closest_to_1_valence_x_cube_inv_dist,False,,False,False,False,False,False,False
25th_closest_to_0,False,,False,False,False,False,False,False
25th_closest_to_0_exact_mass,False,,False,False,False,False,False,False
25th_closest_to_0_spin_multiplicity,False,,False,False,False,False,False,False
25th_closest_to_0_spin_multiplicity_x_cube_inv_dist,True,,False,False,False,False,False,False
25th_closest_to_0_valence,False,,False,False,False,False,False,False
25th_closest_to_0_valence_x_cube_inv_dist,False,,False,False,False,False,False,False
25th_closest_to_1,False,,False,False,False,False,False,False
25th_closest_to_1_exact_mass,False,,False,False,False,False,False,False
25th_closest_to_1_spin_multiplicity,False,,False,False,False,False,False,False
25th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,,False,False,False,False,False,False
25th_closest_to_1_valence,False,,False,False,False,False,False,False
25th_closest_to_1_valence_x_cube_inv_dist,False,,False,False,False,False,False,False
26th_closest_to_0,False,,False,False,,False,False,
26th_closest_to_0_exact_mass,False,,False,False,,False,False,
26th_closest_to_0_spin_multiplicity,False,,False,False,,False,False,
26th_closest_to_0_spin_multiplicity_x_cube_inv_dist,True,,False,False,,False,False,
26th_closest_to_0_valence,False,,False,False,,False,False,
26th_closest_to_0_valence_x_cube_inv_dist,False,,False,False,,False,False,
26th_closest_to_1,False,,False,False,,False,False,
26th_closest_to_1_exact_mass,False,,False,False,,False,False,
26th_closest_to_1_spin_multiplicity,False,,False,False,,False,False,
26th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,,False,False,,False,False,
26th_closest_to_1_valence,False,,False,False,,False,False,
26th_closest_to_1_valence_x_cube_inv_dist,False,,False,False,,False,False,
27th_closest_to_0,False,,False,False,,False,False,
27th_closest_to_0_exact_mass,False,,False,False,,False,False,
27th_closest_to_0_spin_multiplicity,False,,False,False,,False,False,
27th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,,False,False,,False,False,
27th_closest_to_0_valence,False,,False,False,,False,False,
27th_closest_to_0_valence_x_cube_inv_dist,False,,False,False,,False,False,
27th_closest_to_1,False,,False,False,,False,False,
27th_closest_to_1_exact_mass,False,,False,False,,False,False,
27th_closest_to_1_spin_multiplicity,False,,False,False,,False,False,
27th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,,False,False,,False,False,
27th_closest_to_1_valence,False,,False,False,,False,False,
27th_closest_to_1_valence_x_cube_inv_dist,False,,False,False,,False,False,
28th_closest_to_0,False,,False,False,,False,False,
28th_closest_to_0_exact_mass,False,,False,False,,False,False,
28th_closest_to_0_spin_multiplicity,False,,False,False,,False,False,
28th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,,False,False,,False,False,
28th_closest_to_0_valence,False,,False,False,,False,False,
28th_closest_to_0_valence_x_cube_inv_dist,False,,False,False,,False,False,
28th_closest_to_1,False,,False,False,,False,False,
28th_closest_to_1_exact_mass,False,,False,False,,False,False,
28th_closest_to_1_spin_multiplicity,False,,False,False,,False,False,
28th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,,False,False,,False,False,
28th_closest_to_1_valence,False,,False,False,,False,False,
28th_closest_to_1_valence_x_cube_inv_dist,False,,False,False,,False,False,
2nd_closest_to_0,False,False,True,False,False,False,False,True
2nd_closest_to_0_exact_mass,True,True,True,False,True,True,True,True
2nd_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
2nd_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,True,False,False,True,False,False
2nd_closest_to_0_valence,True,True,True,False,True,True,True,True
2nd_closest_to_0_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
2nd_closest_to_1,True,False,False,False,False,False,False,False
2nd_closest_to_1_exact_mass,True,True,True,False,True,True,True,True
2nd_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
2nd_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,True,False,False,False,False,True
2nd_closest_to_1_valence,True,True,True,False,True,True,True,True
2nd_closest_to_1_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
3rd_closest_to_0,False,False,False,True,False,False,False,False
3rd_closest_to_0_exact_mass,True,True,True,True,True,True,True,True
3rd_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
3rd_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,True,True,True,False,True
3rd_closest_to_0_valence,True,True,True,True,True,True,True,True
3rd_closest_to_0_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
3rd_closest_to_1,True,True,False,True,True,False,False,True
3rd_closest_to_1_exact_mass,True,True,True,True,True,True,True,True
3rd_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
3rd_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,True,False,True,False,False
3rd_closest_to_1_valence,False,True,True,True,True,True,True,True
3rd_closest_to_1_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
4th_closest_to_0,False,True,True,False,False,False,True,True
4th_closest_to_0_exact_mass,True,True,True,False,True,False,False,False
4th_closest_to_0_spin_multiplicity,False,False,True,False,False,True,False,False
4th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,True,True,False,True,True,True
4th_closest_to_0_valence,True,False,True,True,True,True,True,True
4th_closest_to_0_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
4th_closest_to_1,False,False,False,False,False,True,False,True
4th_closest_to_1_exact_mass,True,True,True,False,True,True,True,True
4th_closest_to_1_spin_multiplicity,False,False,False,True,False,False,False,False
4th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,True,False,False,False,False
4th_closest_to_1_valence,True,True,True,True,True,True,True,True
4th_closest_to_1_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
5th_closest_to_0,True,False,False,True,False,True,False,True
5th_closest_to_0_exact_mass,True,True,True,True,True,True,False,True
5th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
5th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
5th_closest_to_0_valence,True,True,True,True,True,False,False,True
5th_closest_to_0_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
5th_closest_to_1,True,False,False,False,False,False,False,False
5th_closest_to_1_exact_mass,True,True,True,True,False,True,False,True
5th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
5th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,True,False,False,False,False,False
5th_closest_to_1_valence,True,True,True,True,False,True,False,False
5th_closest_to_1_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
6th_closest_to_0,False,False,False,False,False,False,False,True
6th_closest_to_0_exact_mass,True,False,True,True,False,True,False,True
6th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
6th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,True
6th_closest_to_0_valence,True,False,False,True,False,True,False,True
6th_closest_to_0_valence_x_cube_inv_dist,True,False,True,True,True,True,True,True
6th_closest_to_1,False,False,False,False,False,False,False,True
6th_closest_to_1_exact_mass,True,False,False,True,False,True,True,True
6th_closest_to_1_spin_multiplicity,False,True,False,False,False,False,False,False
6th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
6th_closest_to_1_valence,False,True,True,False,False,True,False,False
6th_closest_to_1_valence_x_cube_inv_dist,True,False,True,True,False,True,True,True
7th_closest_to_0,False,False,False,False,False,False,False,True
7th_closest_to_0_exact_mass,True,False,True,False,False,False,False,False
7th_closest_to_0_spin_multiplicity,False,False,False,False,False,False,False,False
7th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,True,True,False,False
7th_closest_to_0_valence,False,True,False,True,False,False,False,False
7th_closest_to_0_valence_x_cube_inv_dist,True,True,True,True,True,True,True,True
7th_closest_to_1,False,False,False,False,False,False,False,False
7th_closest_to_1_exact_mass,True,False,True,False,False,True,False,True
7th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
7th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,True,False,False,False,False,False
7th_closest_to_1_valence,False,False,False,False,False,False,False,False
7th_closest_to_1_valence_x_cube_inv_dist,True,False,True,True,False,True,True,True
8th_closest_to_0,False,False,False,False,False,True,False,False
8th_closest_to_0_exact_mass,False,False,False,False,False,False,False,False
8th_closest_to_0_spin_multiplicity,False,True,False,False,False,False,False,False
8th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,True,True,False,False
8th_closest_to_0_valence,True,False,False,True,False,False,False,False
8th_closest_to_0_valence_x_cube_inv_dist,True,False,True,False,False,True,True,True
8th_closest_to_1,False,False,False,False,False,False,False,True
8th_closest_to_1_exact_mass,False,False,False,False,False,True,False,False
8th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
8th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
8th_closest_to_1_valence,False,False,False,False,False,False,False,False
8th_closest_to_1_valence_x_cube_inv_dist,True,False,True,False,True,True,True,True
9th_closest_to_0,False,False,False,False,False,False,False,True
9th_closest_to_0_exact_mass,True,True,False,False,False,False,False,False
9th_closest_to_0_spin_multiplicity,False,True,False,False,False,False,False,False
9th_closest_to_0_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,True,False,False
9th_closest_to_0_valence,True,False,False,False,False,False,False,False
9th_closest_to_0_valence_x_cube_inv_dist,True,False,True,False,False,True,False,True
9th_closest_to_1,False,False,False,False,False,False,False,True
9th_closest_to_1_exact_mass,False,False,False,False,False,False,False,False
9th_closest_to_1_spin_multiplicity,False,False,False,False,False,False,False,False
9th_closest_to_1_spin_multiplicity_x_cube_inv_dist,False,False,False,False,False,False,False,False
9th_closest_to_1_valence,False,True,False,False,False,False,False,False
9th_closest_to_1_valence_x_cube_inv_dist,True,False,True,False,True,True,False,True
Cv,True,False,False,False,False,False,False,False
N1,False,True,False,True,False,True,False,True
N2,False,True,False,True,False,False,False,False
NC,False,False,False,False,False,False,False,False
NF,False,False,False,False,False,False,False,False
NH,False,False,False,False,False,False,False,False
NN,False,False,False,False,False,False,False,False
NO,False,False,False,False,False,False,False,False
a0_nb_degree,True,True,True,False,True,True,True,True
a0_nb_hybridization,True,True,True,True,True,True,True,True
a0_nb_inring,True,True,True,True,True,True,True,True
a0_nb_inring3,True,True,True,True,True,True,True,True
a0_nb_inring4,True,False,True,True,True,True,True,True
a0_nb_inring5,True,True,True,True,True,True,True,True
a0_nb_inring6,True,True,True,True,True,True,True,True
a0_nb_inring7,False,True,True,True,False,True,True,True
a0_nb_inring8,False,False,False,False,False,True,False,False
a0_nb_nb_c,True,True,True,True,True,True,True,True
a0_nb_nb_h,True,True,True,True,True,False,True,True
a0_nb_nb_n,True,True,True,True,False,True,True,True
a0_nb_nb_na,False,False,False,False,False,False,False,False
a0_nb_nb_o,True,False,True,True,True,True,True,False
a1_degree,True,True,True,False,True,True,False,True
a1_hybridization,True,True,True,False,True,True,False,True
a1_inring,True,True,True,False,True,True,False,True
a1_inring3,True,True,True,False,True,True,False,True
a1_inring4,True,True,True,False,False,True,False,True
a1_inring5,True,True,True,False,True,True,False,True
a1_inring6,True,True,True,False,False,True,False,True
