feature,1JHC,1JHN,2JHC,2JHH,2JHN,3JHH,3JHN
angle_0_1_closest1,False,False,False,True,True,True,True
angle_0_2nd0_1,False,False,False,False,True,False,True
angle_0_3rd0_1,False,True,False,False,True,False,True
angle_0_3rd1_1,False,False,False,False,False,False,True
angle_0_4th0_1,False,False,False,False,False,False,True
angle_0_4th1_1,False,False,False,False,False,False,False
angle_0_5th0_1,False,False,False,False,True,False,False
angle_0_5th1_1,False,False,False,False,False,False,False
angle_0_6th0_1,False,False,False,False,False,False,False
angle_0_6th1_1,False,False,False,False,False,False,False
angle_0_7th0_1,False,False,False,False,False,False,False
angle_0_7th1_1,False,False,,False,False,False,False
angle_0_8th0_1,False,False,False,False,False,False,False
angle_0_8th1_1,False,False,False,False,False,False,False
angle_0_9th0_1,False,False,False,False,False,False,False
angle_0_9th1_1,False,False,False,False,False,,False
angle_0_closest1_1,False,False,False,True,False,False,True
angle_1_0_10th0,False,False,False,False,False,False,False
angle_1_0_11th0,False,False,False,False,False,False,False
angle_1_0_11th1,False,False,False,False,False,False,False
angle_1_0_2nd0,True,True,False,False,True,False,True
angle_1_0_3rd0,False,True,False,False,False,False,True
angle_1_0_4th0,False,False,False,False,True,False,True
angle_1_0_5th0,False,False,False,False,False,False,False
angle_1_0_6th0,False,False,False,False,False,False,False
angle_1_0_7th0,False,False,False,False,False,False,False
angle_1_0_7th1,False,False,False,False,False,False,False
angle_1_0_8th0,False,False,False,False,False,False,False
angle_1_0_8th1,False,False,False,False,False,False,False
angle_1_0_9th0,False,False,False,False,False,False,False
angle_clos_0_2nd,False,False,True,True,True,True,True
angle_clos_1_2nd,False,True,False,True,False,True,False
atom1_valence,True,False,True,False,True,,True
atomic_mass_not_0_max,False,False,False,False,False,False,False
atomic_mass_not_1_max,False,False,False,False,False,False,False
atomic_mass_not_1_mean,False,False,False,False,False,False,False
atomic_mass_not_1_std,False,False,False,False,False,False,False
closest_to_0_atomic_mass_x_cube_inv_dist,True,False,True,False,True,True,True
closest_to_0_dist_x_atomic_mass,True,False,False,False,True,True,True
closest_to_0_spin_multiplicity,False,False,False,False,False,False,True
closest_to_0_valence,False,False,True,True,True,True,True
closest_to_0_valence_x_cube_inv_dist,False,True,True,False,True,True,True
closest_to_1_atomic_mass_x_cube_inv_dist,False,True,False,False,True,False,True
closest_to_1_dist_x_atomic_mass,False,True,False,False,False,True,False
closest_to_1_valence_x_cube_inv_dist,False,True,False,False,True,True,False
coulomb_Hx,False,False,False,False,False,False,False
coulomb_Hy,False,False,False,False,False,False,False
dist,False,False,False,True,True,False,True
distC0,False,,False,,,,
distC1,False,,False,,,,
dist_C_0_x,False,False,False,False,False,False,False
dist_C_0_y,False,False,False,False,False,False,False
dist_C_1_x,False,False,False,False,False,False,False
dist_C_1_y,False,False,False,False,False,False,False
dist_C_2_x,False,False,False,False,False,False,False
dist_C_2_y,False,False,False,False,False,False,False
dist_C_3_x,False,False,False,False,False,False,False
dist_C_3_y,False,False,False,False,False,False,False
dist_C_4_x,False,False,False,False,False,False,False
dist_C_4_y,False,False,False,False,False,False,False
dist_F_0_x,False,False,False,False,False,False,False
dist_F_0_y,False,False,False,False,False,False,False
dist_F_1_x,False,False,False,,,False,
dist_F_1_y,False,False,False,,,False,
dist_F_2_x,False,False,False,,,False,
dist_F_2_y,False,False,False,,,False,
dist_F_3_x,False,False,False,,,False,
dist_F_3_y,False,False,False,,,False,
dist_F_4_x,False,False,False,,,False,
dist_F_4_y,False,False,False,,,False,
dist_H_0_x,False,False,False,False,False,False,True
dist_H_0_y,False,False,False,False,False,False,False
dist_H_1_x,False,False,False,False,False,False,False
dist_H_1_y,False,False,False,False,False,False,False
dist_H_2_x,False,False,False,False,False,False,False
dist_H_2_y,False,False,False,False,False,False,False
dist_H_3_x,False,False,False,False,False,False,False
dist_H_3_y,False,False,False,False,False,False,False
dist_H_4_x,False,False,False,False,False,False,False
dist_H_4_y,False,False,False,False,False,False,False
dist_N_0_x,False,False,False,False,False,False,False
dist_N_0_y,False,False,False,False,False,False,False
dist_N_1_x,False,False,False,False,False,False,False
dist_N_1_y,False,False,False,False,False,False,False
dist_N_2_x,False,False,False,False,False,False,False
dist_N_2_y,False,False,False,False,False,False,False
dist_N_3_x,False,False,False,False,False,False,False
dist_N_3_y,False,False,False,False,False,False,False
dist_N_4_x,False,False,False,False,False,False,False
dist_N_4_y,False,False,False,False,False,False,False
dist_O_0_x,False,False,False,False,False,False,False
dist_O_0_y,False,False,False,False,False,False,False
dist_O_1_x,False,False,False,False,False,False,False
dist_O_1_y,False,False,False,False,False,False,False
dist_O_2_x,False,False,False,,,False,
dist_O_2_y,False,False,False,False,False,False,False
dist_O_3_x,False,False,False,,,False,
dist_O_3_y,False,False,False,,,False,
dist_O_4_x,False,False,False,,,False,
dist_O_4_y,False,False,False,,,False,
dist_inv2,False,False,False,True,True,True,False
dist_to_0_max,False,False,False,False,False,False,False
dist_to_0_min,False,False,True,False,False,True,False
dist_to_1_max,False,False,False,False,False,False,False
dist_to_1_min,False,False,False,False,False,True,False
distance,False,False,False,True,False,True,True
distance_10th_closest_to_0,False,False,False,False,False,False,False
distance_10th_closest_to_1,False,False,False,False,False,False,False
distance_10th_closest_to_1_cube_inverse,False,False,False,False,False,False,False
distance_2nd_closest_to_0,False,True,False,False,True,False,True
distance_2nd_closest_to_0_cube_inverse,False,True,False,True,True,False,True
distance_2nd_closest_to_1,False,True,False,True,True,False,False
distance_2nd_closest_to_1_cube_inverse,False,True,False,False,True,True,True
